2017-06-14 09:26:58,178 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-06-14 09:27:19,916 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: fr.exia:boulderdash:0.0.1-SNAPSHOT @ C:\Users\Balentin's\Desktop\Projet Java\GitHub\Projet-Java\BoulderDash-BaseProject\BoulderDash\pom.xml.
2017-06-14 09:27:20,565 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: fr.exia:contract:0.0.1-SNAPSHOT @ C:\Users\Balentin's\Desktop\Projet Java\GitHub\Projet-Java\BoulderDash-BaseProject\BoulderDash\contract\pom.xml.
2017-06-14 09:27:20,809 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-14 09:27:20,812 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Balentin's\Desktop\Projet Java\GitHub\Projet-Java\BoulderDash-BaseProject\BoulderDash\contract\src\main\resources
2017-06-14 09:27:20,814 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-14 09:27:20,814 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Balentin's\Desktop\Projet Java\GitHub\Projet-Java\BoulderDash-BaseProject\BoulderDash\contract\src\test\resources
2017-06-14 09:27:20,870 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: fr.exia:controller:0.0.1-SNAPSHOT @ C:\Users\Balentin's\Desktop\Projet Java\GitHub\Projet-Java\BoulderDash-BaseProject\BoulderDash\controller\pom.xml.
2017-06-14 09:27:20,948 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-14 09:27:20,949 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Balentin's\Desktop\Projet Java\GitHub\Projet-Java\BoulderDash-BaseProject\BoulderDash\controller\src\main\resources
2017-06-14 09:27:20,950 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-14 09:27:20,951 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Balentin's\Desktop\Projet Java\GitHub\Projet-Java\BoulderDash-BaseProject\BoulderDash\controller\src\test\resources
